Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,PDF,cit/year
1,"PA Schirmer, I Mporas",Non-intrusive load monitoring: A review,174,2022, ieeexplore.ieee.org, IEEE Transactions on Smart Grid,"… of Load Monitoring (LM) using energy disaggregation, also referred to as Non-Intrusive Load 
Monitoring (… of vi trajectory based load signatures for non-intrusive load monitoring,” IEEE …",https://ieeexplore.ieee.org/abstract/document/9820770/,No PDF link,44
39,"C Nalmpantis, D Vrakas",Machine learning approaches for non-intrusive load monitoring: from qualitative to quantitative comparation,163,2019, Springer, Artificial Intelligence Review,"… Non-intrusive load monitoring (NILM) is the prevailing method used to monitor the energy 
profile of a domestic building and disaggregate the total power consumption into consumption …",https://link.springer.com/article/10.1007/s10462-018-9613-7,https://intelligence.csd.auth.gr/wp-content/uploads/sites/319/2024/10/Nalmpantis-AIR-2018.pdf,23
93,"MA Devlin, BP Hayes",Non-intrusive load monitoring and classification of activities of daily living using residential smart meter data,162,2019, ieeexplore.ieee.org, IEEE transactions on consumer …,"… [3] MA Devlin and BP Hayes, “Non-intrusive load monitoring using electricity smart meter data: 
A … Linge, “Low-complexity non-intrusive load monitoring using unsupervised learning and …",https://ieeexplore.ieee.org/abstract/document/8721550/,https://cora.ucc.ie/bitstreams/84de5f0b-561d-45a0-9d70-77fa72fc23b2/download,23
28,"JM Gillis, SM Alshareef…",Nonintrusive load monitoring using wavelet design and machine learning,155,2015, ieeexplore.ieee.org, IEEE Transactions on …,"… Habetler, “Incorporating nonintrusive load monitoring into … Gomez-Luna, “Non-intrusive load 
monitoring based on switching … selection of non-intrusive load monitoring system using STFT …",https://ieeexplore.ieee.org/abstract/document/7110380/,https://www.academia.edu/download/93373723/tsg.2015.242870620221031-1-f68cq4.pdf,14
70,"Q Liu, KM Kamoto, X Liu, M Sun…",Low-complexity non-intrusive load monitoring using unsupervised learning and generalized appliance models,153,2019, ieeexplore.ieee.org, IEEE Transactions on …,"… , semi-intrusive, or nonintrusive. Intrusive Load Monitoring (ILM) monitors energy … via 
smart meters that are attached to each appliance or device that needs monitoring. Semi-…",https://ieeexplore.ieee.org/abstract/document/8603750/,No PDF link,22
40,"N Batra, O Parson, M Berges, A Singh…",A comparison of non-intrusive load monitoring methods for commercial and residential buildings,153,2014, arxiv.org, arXiv preprint arXiv …,"Non intrusive load monitoring (NILM), or energy disaggregation, is the process of … measured 
at single point into the building's constituent loads. Previous research in the field has mostly …",https://arxiv.org/abs/1408.6595,https://arxiv.org/pdf/1408.6595,13
44,"YH Lin, MS Tsai",Non-intrusive load monitoring by novel neuro-fuzzy classification considering uncertainties,153,2014, ieeexplore.ieee.org, IEEE Transactions on Smart Grid,"… ment System, a Non-intrusive Load Monitoring (NILM) system as an energy audit identifies 
power-intensive household appliances non-intrusively. In this paper, an NILM system with a …",https://ieeexplore.ieee.org/abstract/document/6880402/,No PDF link,13
41,"C Shin, S Joo, J Yim, H Lee, T Moon…",Subtask gated networks for non-intrusive load monitoring,151,2019, ojs.aaai.org, Proceedings of the AAAI …,"… To be precise, we can formulate on/off classification as a subtask for non-intrusive load 
monitoring. Let oi = (… Nonintrusive load monitoring using prior models of general appliance types. …",https://ojs.aaai.org/index.php/AAAI/article/view/3908,https://ojs.aaai.org/index.php/AAAI/article/download/3908/3786,22
23,"MB Figueiredo, A De Almeida, B Ribeiro",An experimental study on electrical signature identification of non-intrusive load monitoring (nilm) systems,150,2011, Springer, Adaptive and Natural …,"… a certain moment in time, a non-intrusive load monitoring system uses only the voltage and 
… The main steps in a non-intrusive load monitoring system are: a) the acquisition of electrical …",https://link.springer.com/chapter/10.1007/978-3-642-20267-4_4,https://www.researchgate.net/profile/Bernardete-Ribeiro/publication/221157252_An_Experimental_Study_on_Electrical_Signature_Identification_of_Non-Intrusive_Load_Monitoring_NILM_Systems/links/5992d645a6fdccaded1c7e76/An-Experimental-Study-on-Electrical-Signature-Identification-of-Non-Intrusive-Load-Monitoring-NILM-Systems.pdf,10
68,"K Chen, Y Zhang, Q Wang, J Hu…",Scale-and context-aware convolutional non-intrusive load monitoring,145,2019, ieeexplore.ieee.org, IEEE Transactions on …,"… By detecting load malfunction and recommending energy reduction programs, cost-effective 
non-intrusive load monitoring provides intelligent demand-side management for utilities and …",https://ieeexplore.ieee.org/abstract/document/8897031/,https://arxiv.org/pdf/1911.07183,21
97,"C Klemenjak, C Kovatsch, M Herold, W Elmenreich",A synthetic energy dataset for non-intrusive load monitoring in households,140,2020, nature.com, Scientific data,"… Introduced in 2 , Non-Intrusive Load Monitoring (NILM) … level (monitored at the mains) 
and individual loads, which is … consumption dataset for Non-Intrusive Load Monitoring (NILM) …",https://www.nature.com/articles/s41597-020-0434-6,https://www.nature.com/articles/s41597-020-0434-6.pdf,23
32,"H Rashid, P Singh, V Stankovic, L Stankovic",Can non-intrusive load monitoring be used for identifying an appliance's anomalous behaviour?,134,2019, Elsevier, Applied energy,"… At the same time, for applications such as energy feedback, Non-intrusive load monitoring 
(NILM) has been recognised as a scalable and practical alternative to submetering. However, …",https://www.sciencedirect.com/science/article/pii/S0306261919300613,https://strathprints.strath.ac.uk/66609/1/Rashid_etal_AE2019_Can_non_intrusive_load_monitoring_be_used_for_identifying.pdf,19
95,"JM Gillis, WG Morsi",Non-intrusive load monitoring using semi-supervised machine learning and wavelet design,134,2016, ieeexplore.ieee.org, IEEE Transactions on Smart Grid,"… wavelet design applied to non-intrusive load monitoring. Co-training of two machine learning 
classifiers is used to automate the process of learning the load pattern after designing new …",https://ieeexplore.ieee.org/abstract/document/7430361/,No PDF link,13
10,"YF Wong, YA Şekercioğlu…",Recent approaches to non-intrusive load monitoring techniques in residential settings,133,2013, ieeexplore.ieee.org, … Applications in Smart …,"… In order to achieve that, load monitoring methods are normally used. In recent years, non-intrusive 
load monitoring (NILM) approaches are gaining popularity due to their minimal …",https://ieeexplore.ieee.org/abstract/document/6611501/,https://scholar.archive.org/work/mbod3dyl5ncizakoaxmvcyza4a/access/wayback/http://titania.ctie.monash.edu.au/papers/recent-nilm-ciasg2013.pdf,10
79,"HH Chang, CL Lin, JK Lee",Load identification in nonintrusive load monitoring using steady-state and turn-on transient energy algorithms,133,2010, ieeexplore.ieee.org, The 2010 14th International …,"… -monitoring systems will focus on more significant issues, … of instruments using non-intrusive 
load monitoring (NILM) … of nonintrusive load-monitoring system results for load identification …",https://ieeexplore.ieee.org/abstract/document/5472008/,No PDF link,8
78,"Y Yang, J Zhong, W Li, TA Gulliver…",Semisupervised multilabel deep learning based nonintrusive load monitoring in smart grids,129,2019, ieeexplore.ieee.org, IEEE Transactions on …,"… Stankovic, “Non-intrusive load disaggregation using graph … [8] JM Gillis and WG Morsi, 
“Non-intrusive load monitoring using … Dick, “Residential household non-intrusive load monitoring …",https://ieeexplore.ieee.org/abstract/document/8911216/,No PDF link,18
61,"FM Wittmann, JC López…",Nonintrusive load monitoring algorithm using mixed-integer linear programming,122,2018, ieeexplore.ieee.org, IEEE Transactions on …,"… The advantage of nonintrusive identification is the reduced … of nonintrusive load monitoring 
(NILM), also known as, load … pattern recognition based non-intrusive load monitoring for a …",https://ieeexplore.ieee.org/abstract/document/8370743/,No PDF link,15
69,"M Lu, Z Li",A hybrid event detection approach for non-intrusive load monitoring,121,2019, ieeexplore.ieee.org, IEEE Transactions on Smart Grid,"… of smart meters has made appliance load monitoring (ALM) a promising way to cut energy 
consumption. A meter-level system, namely non-intrusive load monitoring (NILM), is a practi…",https://ieeexplore.ieee.org/abstract/document/8745491/,https://arxiv.org/pdf/1903.09180,17
59,"D He, W Lin, N Liu, RG Harley…",Incorporating non-intrusive load monitoring into building level demand response,120,2013, ieeexplore.ieee.org, IEEE Transactions on …,"… for every socket or load. This paper present an attractive alternative called “non-intrusive” 
load monitoring, which equips the monitoring system with intelligence to identify the loads. The …",https://ieeexplore.ieee.org/abstract/document/6670133/,No PDF link,9
42,"Z Yue, CR Witzig, D Jorde, HA Jacobsen",Bert4nilm: A bidirectional transformer model for non-intrusive load monitoring,120,2020, dl.acm.org,Intrusive Load Monitoring,"Non-intrusive load monitoring (NILM) based energy disaggregation is the decomposition of 
a system's energy into the consumption of its individual appliances. Previous work on deep …",https://dl.acm.org/doi/abs/10.1145/3427771.3429390,No PDF link,20
7,"M Zhuang, M Shahidehpour, Z Li","An overview of non-intrusive load monitoring: Approaches, business applications, and challenges",119,2018, ieeexplore.ieee.org, … international conference on …,"… EJ Aladesanmi, “Non-intrusive load monitoring and identification for energy management 
system … AL Wang, BX Chen, CG Wang, and DD Hua, “Non-intrusive load monitoring algorithm …",https://ieeexplore.ieee.org/abstract/document/8601534/,No PDF link,15
3,"J Revuelta Herrero, Á Lozano Murciego…",Non intrusive load monitoring (nilm): A state of the art,117,2018, Springer, Trends in Cyber …,"… has led to interest in monitoring load techniques in order to … of the art in Non Intrusive Load 
Monitoring from its beginning, … literature in other to perform Non Intrusive Load Monitoring. …",https://link.springer.com/chapter/10.1007/978-3-319-61578-3_12,https://www.researchgate.net/profile/Jorge-Revuelta-Herrero/publication/318510754_Non_Intrusive_Load_Monitoring_NILM_A_State_of_the_Art/links/59c4fb95458515548f288c2c/Non-Intrusive-Load-Monitoring-NILM-A-State-of-the-Art.pdf,15
46,"HH Chang, CL Lin, HT Yang",Load recognition for different loads with the same real power and reactive power in a non-intrusive load-monitoring system,114,2008, ieeexplore.ieee.org, 2008 12th International …,"… instrumentation systems employ meters for each load to be monitored. These meters may … 
non-intrusive load monitoring (NILM) is expected. To develop such a system, a number of load …",https://ieeexplore.ieee.org/abstract/document/4537137/,No PDF link,6
73,"Z Zheng, H Chen, X Luo",A supervised event-based non-intrusive load monitoring for non-linear appliances,111,2018, mdpi.com, Sustainability,"Smart meters generate a massive volume of energy consumption data which can be analyzed 
to recover some interesting and beneficial information. Non-intrusive load monitoring (…",https://www.mdpi.com/2071-1050/10/4/1001,https://www.mdpi.com/2071-1050/10/4/1001,14
82,"C Athanasiadis, D Doukas, T Papadopoulos…",A scalable real-time non-intrusive load monitoring system for the estimation of household appliance power consumption,104,2021, mdpi.com, Energies,"… One such service is non-intrusive load monitoring (NILM). NILM is a process to break down 
the electricity consumption on an appliance level by analyzing the total aggregated data …",https://www.mdpi.com/1996-1073/14/3/767,https://www.mdpi.com/1996-1073/14/3/767/pdf,21
77,"K Basu, V Debusschere, A Douzal-Chouakria…",Time series distance-based methods for non-intrusive load monitoring in residential buildings,103,2015, Elsevier, Energy and …,"… Non-intrusive load monitoring (NILM) deals with the disaggregation of individual appliances 
from the total load at the smart meter level. This work proposes a generic methodology …",https://www.sciencedirect.com/science/article/pii/S0378778815002133,https://www.academia.edu/download/42048377/Time_series_distance-based_methods_for_n20160204-20787-1iywt18.pdf,9
26,"HK Iqbal, FH Malik, A Muhammad, MA Qureshi…",A critical review of state-of-the-art non-intrusive load monitoring datasets,99,2021, Elsevier, Electric Power Systems …,"Nowadays Non-Intrusive Load Monitoring (NILM) is considered a hot topic among 
researchers. The energy disaggregation datasets are used as the benchmark to validate the …",https://www.sciencedirect.com/science/article/pii/S0378779620307197,No PDF link,20
85,"JM Alcalá, J Ureña, Á Hernández, D Gualda",Assessing human activity in elderly people using non-intrusive load monitoring,98,2017, mdpi.com, Sensors,"… In this work, a novel technique to monitor the human activity, based on non-intrusive load 
monitoring (NILM), is presented. The proposal uses only smart meter data, which leads to …",https://www.mdpi.com/1424-8220/17/2/351,https://www.mdpi.com/1424-8220/17/2/351/pdf,11
8,"EJ Aladesanmi, KA Folly",Overview of non-intrusive load monitoring and identification techniques,96,2015, Elsevier,PapersOnLine,"… Load monitoring techniques can generally be grouped into intrusive and non-intrusive 
load monitoring. Intrusive load monitoring provides accurate results and would allow each …",https://www.sciencedirect.com/science/article/pii/S2405896315030566,No PDF link,9
6,"C Klemenjak, P Goldsborough",Non-intrusive load monitoring: A review and outlook,92,2016, arxiv.org, arXiv preprint arXiv:1610.01191,"… With the roll-out of smart meters the importance of effective nonintrusive load monitoring (NILM) 
techniques has risen rapidly. NILM estimates the power consumption of individual …",https://arxiv.org/abs/1610.01191,https://arxiv.org/pdf/1610.01191,9
80,"W Kong, ZY Dong, DJ Hill, F Luo…",Improving nonintrusive load monitoring efficiency via a hybrid programing method,89,2016, ieeexplore.ieee.org, IEEE Transactions on …,"… based load signatures for non-intrusive load monitoring,” IEEE Trans. Smart Grid, vol. 5, 
no. … Bondyopadhyay, “Non intrusive load monitoring: A temporal multi-label classification …",https://ieeexplore.ieee.org/abstract/document/7508980/,No PDF link,9
60,"CL Athanasiadis, TA Papadopoulos, DI Doukas",Real-time non-intrusive load monitoring: A light-weight and scalable approach,87,2021, Elsevier, Energy and Buildings,"Non-intrusive load monitoring (NILM) is a topic that lately attracts both the academic and the 
industrial interest. NILM is used to reveal useful information regarding the consumption …",https://www.sciencedirect.com/science/article/pii/S0378778821008070,No PDF link,17
81,"B Wild, KS Barsim, B Yang",A new unsupervised event detector for non-intrusive load monitoring,78,2015, ieeexplore.ieee.org, 2015 IEEE global conference on …,"… Event detection plays an important role in today’s NonIntrusive Load Monitoring (NILM) 
systems faced more and more with nonlinear and variable loads. For this purpose, the paper …",https://ieeexplore.ieee.org/abstract/document/7418159/,https://sigport.org/sites/default/files/14370229_presentation_printable_SigPort.pdf,7
76,"C Liu, A Akintayo, Z Jiang, GP Henze, S Sarkar",Multivariate exploration of non-intrusive load monitoring via spatiotemporal pattern network,76,2018, Elsevier, Applied Energy,"… Non-intrusive load monitoring (NILM) of electrical demand for the purpose of identifying 
load components has thus far mostly been studied using univariate data, eg, using only whole …",https://www.sciencedirect.com/science/article/pii/S0306261917317397,https://www.sciencedirect.com/science/article/am/pii/S0306261917317397,10
