Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,cit/year
94,"O Moselhi, T Hegazy, P Fazio",Neural networks as tools in construction,310,1991, ascelibrary.org, Journal of construction engineering …,"… Neural networks research in AI has recently provided … In this paper, neural networks 
are introduced as a promising … Basic neural network architectures are described, and their …",https://ascelibrary.org/doi/abs/10.1061/(ASCE)0733-9364(1991)117:4(606),9
52,"GX Ritter, P Sussner",An introduction to morphological neural networks,283,1996, ieeexplore.ieee.org, Proceedings of 13th International …,"… network In this paper we introduce a novel class of neural networks, called morphological 
neural networks… of the sum of products, morphological network computation is nonlinear before …",https://ieeexplore.ieee.org/abstract/document/547657/,9
46,RE Uhrig,Introduction to artificial neural networks,274,1995, ieeexplore.ieee.org,21st Annual Conference …,"… Indeed, neural networks exhibit characteristics and … This paper presents a brief tutorial on 
neural networks and … of a network of neurons, commonly called neural networks. The brain …",https://ieeexplore.ieee.org/abstract/document/483329/,9
42,H Abdi,A neural network primer,261,1994, World Scientific, Journal of Biological Systems,"… networks: the very popular back-propagation network, and the radial basis function network, 
a relative newcomer to the field of neural networks … Most neural networks can be interpreted …",https://www.worldscientific.com/doi/abs/10.1142/S0218339094000179,8
51,"G Desjardins, K Simonyan…",Natural neural networks,240,2015, proceedings.neurips.cc, Advances in neural …,"… of the neural network weights by implicitly whitening the representation obtained at each 
layer, while preserving the feed-forward computation of the network. Such networks can be …",https://proceedings.neurips.cc/paper_files/paper/2015/hash/2de5d16682c3c35007e4e92982f1a2ba-Abstract.html,22
47,"Z Zhang, Z Zhang",Artificial neural network,234,2018, Springer, Multivariate time series analysis in climate and …,"… is connected to every neuron in the next layer, then this kind of neural network is called fully 
… network is the network with one hidden layer and one output layer. If such network has m …",https://link.springer.com/chapter/10.1007/978-3-319-67340-0_1,29
86,"E Domany, JL van Hemmen, K Schulten",Models of neural networks I,222,2012, books.google.com,,"… Each neuron is itself a complex device which compares and … of information processing in 
neural networks have developed at … We intend the new series Physics of Neural Networks to be …",https://books.google.com/books?hl=en&lr=&id=ASbqCAAAQBAJ&oi=fnd&pg=PA1&dq=Neural+Networks&ots=6dP1Chezuf&sig=5YWUW5uFQkZHWmtnQ-WmPYi7oTM,16
18,PA Jansson,Neural networks: An overview,220,1991, ACS Publications, Analytical chemistry,"… “neural network” bring a hopeful vision to scientists and engineers … The neural network 
exemplifies the paradox that the … Irrespective of the ebb and flow of neural-net enthusiasm, two …",https://pubs.acs.org/doi/pdf/10.1021/ac00006a739,6
69,"PD Wasserman, T Schwartz",Neural networks. II. What are they and why is everybody so interested in them now?,219,1988, ieeexplore.ieee.org, IEEE expert,"… A brief history of neural network research is followed by a discussion of their architectures 
… every other neural network training algorithm, is described. The outlook for neural nets is …",https://ieeexplore.ieee.org/abstract/document/2091/,6
55,GJ Taylor,Neural networks and their applications,214,1996, dl.acm.org,,"… and strength of the subject of neural networks in solving hard problems. … the applications of 
neural networks in automotive and … papers on the applications of neural networks to finance. …",https://dl.acm.org/doi/abs/10.5555/547948,7
91,XS Zhang,Neural networks in optimization,146,2000, books.google.com,,"… We not only anticipate that there will be neural computers with intelligence but we also 
believe that the research results of artificial neural networks might lead to new algorithms on von …",https://books.google.com/books?hl=en&lr=&id=VpcMhviVDfMC&oi=fnd&pg=PR9&dq=Neural+Networks&ots=ZxKnf5bTHI&sig=hmhpjOxI7j8W-B43ZEv4XFqzop0,6
92,U an der Heiden,Analysis of neural networks,101,2013, books.google.com,,"… treatment of activity in neural networks from a mathematical point of … Moreover there are other 
approaches to neural network … average behavior of neurons or neuron pools. In this respect …",https://books.google.com/books?hl=en&lr=&id=5u3uCAAAQBAJ&oi=fnd&pg=PA1&dq=Neural+Networks&ots=EQ68AJtQk4&sig=CoI9m95Ik86DlyuniocoHPLWwU0,8
